"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C5, C10","3","10uF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"2","C2","1","1uF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"3","C3, C4, C6, C7, C8, C9, C11, C13, C15","9","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"4","C12, C14","2","10nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"5","J1, J2","2","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"6","R1, R2, R11, R12","4","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"7","R3, R4","2","5.6kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"8","R5","1","1.2kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","R6","1","16.2kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","R7, R8, R9, R10","4","1kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"11","R13","1","845Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"12","R14","1","29.4kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","U1","1","Pico","RPi_Pico:RPi_Pico_SMD_TH",""
"14","U2, U9","2","MCP4725xxx-xCH","Package_TO_SOT_SMD:SOT-23-6",""
"15","U3, U4, U8, U10, U11","5","Opamp_Dual","Package_DIP:DIP-8_W7.62mm_Socket",""
"16","U5","1","LM2950L-5.0","Package_TO_SOT_THT:TO-92_Inline",""
"17","U6","1","ADR425ARMZ","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"18","U7","1","ADR421ARMZ","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"19","U12","1","ADS1115IDGS","Package_SO:TSSOP-10_3x3mm_P0.5mm",""
